Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Topological domain	Transmembrane	Subcellular location [CC]	Helix	Turn	Beta strand	RefSeq	BioGRID	STRING	Intramembrane
Q8VHC5	reviewed	CABP4_MOUSE	Calcium-binding protein 4 (CaBP4)	Cabp4	Mus musculus (Mouse)	271	TISSUE SPECIFICITY: Expressed in retina and in the inner hair cells (IHC) of the cochlea. {ECO:0000269|PubMed:15452577, ECO:0000269|PubMed:16249514, ECO:0000269|PubMed:17050707, ECO:0000269|PubMed:17947313}.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P57796}. Presynapse {ECO:0000269|PubMed:15452577}. Note=Found in rod spherules and cone pedicles of the presynapses from both types of photoreceptors. {ECO:0000269|PubMed:15452577}.	HELIX 124..137; /evidence="ECO:0007829|PDB:2M29"; HELIX 148..150; /evidence="ECO:0007829|PDB:2M29"; HELIX 151..155; /evidence="ECO:0007829|PDB:2M29"; HELIX 164..171; /evidence="ECO:0007829|PDB:2M29"; HELIX 183..190; /evidence="ECO:0007829|PDB:2M29"; HELIX 204..214; /evidence="ECO:0007829|PDB:2M28"; HELIX 224..230; /evidence="ECO:0007829|PDB:2M28"; HELIX 242..251; /evidence="ECO:0007829|PDB:2M28"; HELIX 261..268; /evidence="ECO:0007829|PDB:2M28"	TURN 156..158; /evidence="ECO:0007829|PDB:2M29"; TURN 233..235; /evidence="ECO:0007829|PDB:2M28"	STRAND 174..177; /evidence="ECO:0007829|PDB:2M29"; STRAND 256..259; /evidence="ECO:0007829|PDB:2M28"	NP_653115.1;		10090.ENSMUSP00000025761;	
Q8VHD8	reviewed	HORN_MOUSE	Hornerin	Hrnr	Mus musculus (Mouse)	2496	TISSUE SPECIFICITY: Embryonic skin. Highest level in the adult forestomach followed by the skin. Lower levels in the tongue, esophagus. Detected in the granular and cornified layers of the mature epidermis. {ECO:0000269|PubMed:12642627}.			SUBCELLULAR LOCATION: Cytoplasmic granule. Note=Found in keratohyalin granules of the granular cells of the epidermis.						10090.ENSMUSP00000088369;	
Q8W4I7	reviewed	CDPKD_ARATH	Calcium-dependent protein kinase 13 (EC 2.7.11.1)	CPK13 At3g51850 ATEM1.10	Arabidopsis thaliana (Mouse-ear cress)	528				SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19029837}; Lipid-anchor {ECO:0000269|PubMed:19029837}.				NP_190753.2;	9666;	3702.AT3G51850.1;	
Q8WT44	reviewed	UBPH_CAEEL	Ubiquitin carboxyl-terminal hydrolase cyk-3 (EC 3.4.19.12) (CeUBP130) (Cytokinesis defective protein 3)	cyk-3 uch-1 ZK328.1	Caenorhabditis elegans	1178	TISSUE SPECIFICITY: Expressed in excretory cells, coelomocytes, head neurons, hypodermal cells, germ cells, oocytes, sperm and pharynx (at protein level). {ECO:0000269|PubMed:11683918}.			SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11683918}. Cytoplasm {ECO:0000269|PubMed:11683918}. Cytoplasm, cytoskeleton, microtubule organizing center {ECO:0000269|PubMed:11683918}. Note=At the 2-cell stage embryo, localizes to the microtubule organizing center during mitotic metaphase. Localizes to the cytoplasm in germ cells and sperm, and to the nucleus in oocytes. {ECO:0000269|PubMed:11683918}.				NP_001022992.1 [Q8WT44-1];NP_498311.2 [Q8WT44-2];		6239.ZK328.1b;	
Q8WXG8	reviewed	S100Z_HUMAN	Protein S100-Z (S100 calcium-binding protein Z)	S100Z	Homo sapiens (Human)	99	TISSUE SPECIFICITY: Highest level of expression in spleen and leukocytes. {ECO:0000269|PubMed:11747429}.				HELIX 4..18; /evidence="ECO:0007829|PDB:5HYD"; HELIX 31..41; /evidence="ECO:0007829|PDB:5HYD"; HELIX 45..51; /evidence="ECO:0007829|PDB:5HYD"; HELIX 53..64; /evidence="ECO:0007829|PDB:5HYD"; HELIX 72..96; /evidence="ECO:0007829|PDB:5HYD"	TURN 65..67; /evidence="ECO:0007829|PDB:5HYD"	STRAND 28..30; /evidence="ECO:0007829|PDB:5HYD"; STRAND 68..71; /evidence="ECO:0007829|PDB:5HYD"	NP_570128.2;XP_011541541.1;XP_011541542.1;XP_011541543.1;XP_011541546.1;XP_011541547.1;XP_016864660.1;XP_016864661.1;XP_016864662.1;	128065;	9606.ENSP00000320430;	
Q91WG7	reviewed	DGKG_MOUSE	Diacylglycerol kinase gamma (DAG kinase gamma) (EC 2.7.1.107) (88 kDa diacylglycerol kinase) (Diglyceride kinase gamma) (DGK-gamma)	Dgkg Dagk3	Mus musculus (Mouse)	788	TISSUE SPECIFICITY: Expressed in hippocampus and cerebellar Purkinje cells and weakly and diffusely expressed in the granule cells. {ECO:0000269|PubMed:32033984}.			SUBCELLULAR LOCATION: Membrane {ECO:0000250|UniProtKB:P49620}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:P49619}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P49620}.				NP_619591.1;		10090.ENSMUSP00000087371;	
Q91ZP9	reviewed	NECA2_MOUSE	N-terminal EF-hand calcium-binding protein 2 (EF-hand calcium-binding protein 2) (Neuronal calcium-binding protein 2)	Necab2 Efcbp2	Mus musculus (Mouse)	389	TISSUE SPECIFICITY: Expressed in the iris, in the ciliary margin of the retina and in the inner portion of the neural retina. Expressed in the spinal dorsal horn with especially strong expression in lamina IIi; found in excitory synaptic boutons (at protein level). {ECO:0000269|PubMed:11641222, ECO:0000269|PubMed:26843217}.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11641222}. Cell projection, dendrite {ECO:0000250|UniProtKB:F1LQY6}. Cell projection, axon {ECO:0000250|UniProtKB:F1LQY6}. Cell membrane {ECO:0000250|UniProtKB:Q7Z6G3}. Note=Colocalizes with ADORA2A and/or mGluR5/GRM5 at the plasma membrane (By similarity). Found in neuronal somata (PubMed:26843217). Detected in the cytoplasm of striatal neurons, at postsynaptic sites, filling dendritic shafts and spines, and at presynaptic sites, filling axon terminals (By similarity). {ECO:0000250|UniProtKB:F1LQY6, ECO:0000250|UniProtKB:Q7Z6G3, ECO:0000269|PubMed:26843217}.				NP_473436.1 [Q91ZP9-1];XP_017168015.1 [Q91ZP9-2];	228171;	10090.ENSMUSP00000095966;	
Q91ZS3	reviewed	CAB45_RAT	45 kDa calcium-binding protein (Cab45) (Stromal cell-derived factor 4) (SDF-4)	Sdf4 Cab45	Rattus norvegicus (Rat)	361	TISSUE SPECIFICITY: A membrane-associated isoform is expressed in acini of the pancreas (at protein level). Ubiquitous. {ECO:0000269|PubMed:17442889, ECO:0000269|PubMed:18355758}.			SUBCELLULAR LOCATION: Golgi apparatus lumen {ECO:0000250|UniProtKB:Q61112}.				NP_569096.2;		10116.ENSRNOP00000027215;	
Q91ZU6	reviewed	DYST_MOUSE	Dystonin (Bullous pemphigoid antigen 1) (BPA) (Dystonia musculorum protein) (Hemidesmosomal plaque protein) (Microtubule actin cross-linking factor 2)	Dst Bpag1 Macf2	Mus musculus (Mouse)	7393	TISSUE SPECIFICITY: Isoform 1 and 2 are expressed in striated and heart muscle cells. Isoform 5 is expressed in the skin. Isoform 6 is expressed in sensory neural cells of the dorsal root ganglion and with low level in the skin (at protein level). Isoform 1 is expressed predominantly in the brain and spinal cord with low levels in the heart (PubMed:14581450). Isoform 2 is predominantly expressed in muscle and heart and with low levels in the brain. Isoform 5 is expressed in the skin and with low levels in myoblast cells. Isoform 6 is expressed in neurons. Isoform 7 is expressed in lung and with low levels in the brain. {ECO:0000269|PubMed:11514586, ECO:0000269|PubMed:14576348, ECO:0000269|PubMed:14581450, ECO:0000269|PubMed:16797530, ECO:0000269|PubMed:18638474, ECO:0000269|PubMed:19932097, ECO:0000269|PubMed:20209123, ECO:0000269|PubMed:7670468, ECO:0000269|PubMed:7736575, ECO:0000269|PubMed:8752219}.			SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, stress fiber. Cell projection, axon {ECO:0000269|PubMed:17287360}. Note=Associates with axonal microtubules at the growing distal tip and intermediate filaments, but not with actin cytoskeleton, in sensory neurons (By similarity). Associates with intermediate filaments, actin and microtubule cytoskeletons. Localizes to actin stress fibers and to actin-rich ruffling at the cortex of cells. {ECO:0000250, ECO:0000269|PubMed:14576348}.; SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19932097}. Note=Colocalizes both cortical and cytoplasmic actin filaments (PubMed:19932097). Localizes to vesicule-like structures associated with microtubules (PubMed:14581450, PubMed:17287360). {ECO:0000269|PubMed:14581450, ECO:0000269|PubMed:17287360, ECO:0000269|PubMed:19932097}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane, sarcolemma. Cytoplasm, myofibril, sarcomere, Z line. Cytoplasm, myofibril, sarcomere, H zone. Cytoplasm, cytoskeleton. Note=Localizes to microtubules and actin microfilaments throughout the cytoplasm and at focal contact attachments at the plasma membrane.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm, cytoskeleton. Cell junction, hemidesmosome. Note=Colocalizes with the epidermal KRT5-KRT14 intermediate filaments network of keratins. Colocalizes with ITGB4 at the leading edge of migrating keratinocytes (By similarity). Localizes to actin and intermediate filaments cytoskeletons. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 6]: Nucleus. Nucleus envelope. Membrane; Single-pass membrane protein. Endoplasmic reticulum membrane; Single-pass membrane protein. Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, stress fiber {ECO:0000269|PubMed:14576348}. Note=Associates with actin cytoskeleton in sensory neurons (By similarity). Localizes to actin and intermediate filaments cytoskeletons. Localizes to central actin stress fibers around the nucleus and is excluded form focal contact sites in myoblast cells. Translocates to the nucleus. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 7]: Cytoplasm, cytoskeleton. Cytoplasm, cell cortex. Cell membrane; Lipid-anchor.	HELIX 590..593; /evidence="ECO:0007829|PDB:2IAK"; HELIX 600..604; /evidence="ECO:0007829|PDB:2IAK"; HELIX 608..623; /evidence="ECO:0007829|PDB:2IAK"; HELIX 631..650; /evidence="ECO:0007829|PDB:2IAK"; HELIX 652..661; /evidence="ECO:0007829|PDB:2IAK"; HELIX 662..664; /evidence="ECO:0007829|PDB:2IAK"; HELIX 670..686; /evidence="ECO:0007829|PDB:2IAK"; HELIX 690..722; /evidence="ECO:0007829|PDB:2IAK"; HELIX 744..767; /evidence="ECO:0007829|PDB:2IAK"; HELIX 773..793; /evidence="ECO:0007829|PDB:2IAK"	TURN 667..669; /evidence="ECO:0007829|PDB:2IAK"; TURN 687..689; /evidence="ECO:0007829|PDB:2IAK"	STRAND 594..596; /evidence="ECO:0007829|PDB:2IAK"	NP_034211.2 [Q91ZU6-5];NP_598594.2 [Q91ZU6-2];NP_604443.2 [Q91ZU6-1];	199328;	10090.ENSMUSP00000095392;	
Q92177	reviewed	CAN3_CHICK	Calpain-3 (EC 3.4.22.54) (Calcium-activated neutral proteinase 3) (CANP 3) (Calpain L3) (Calpain p94) (Muscle-specific calcium-activated neutral protease 3)	CAPN3	Gallus gallus (Chicken)	810	TISSUE SPECIFICITY: Skeletal muscle. Low levels in spleen, intestine and bone.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P20807}. Nucleus, nucleolus {ECO:0000250|UniProtKB:P20807}.						9031.ENSGALP00000031999;	
Q92178	reviewed	CAN2_CHICK	Calpain-2 catalytic subunit (EC 3.4.22.53) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)	CAPN2	Gallus gallus (Chicken)	700	TISSUE SPECIFICITY: Ubiquitous.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}. Note=Translocates to the plasma membrane upon Ca(2+) binding. {ECO:0000250}.				NP_990411.1;	676236;	9031.ENSGALP00000015229;	
Q948T9	reviewed	RBOHB_SOLTU	Respiratory burst oxidase homolog protein B (EC 1.11.1.-) (EC 1.6.3.-) (NADPH oxidase RBOHB) (StRBOHB)	RBOHB	Solanum tuberosum (Potato)	867		TOPO_DOM 1..322; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 344..358; /note="Extracellular"; /evidence="ECO:0000255"; TOPO_DOM 380..407; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 429..463; /note="Extracellular"; /evidence="ECO:0000255"; TOPO_DOM 485..506; /note="Cytoplasmic"; /evidence="ECO:0000255"; TOPO_DOM 528..686; /note="Extracellular"; /evidence="ECO:0000255"; TOPO_DOM 708..867; /note="Cytoplasmic"; /evidence="ECO:0000255"	TRANSMEM 323..343; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 359..379; /note="Helical; Name=2"; /evidence="ECO:0000250"; TRANSMEM 408..428; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 464..484; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 507..527; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 687..707; /note="Helical; Name=6"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16551687}; Multi-pass membrane protein {ECO:0000269|PubMed:16551687}.				NP_001274981.1;		4113.PGSC0003DMT400063688;	
Q94BV7	reviewed	NDB2_ARATH	External alternative NAD(P)H-ubiquinone oxidoreductase B2, mitochondrial (EC 1.6.5.9) (External alternative NADH dehydrogenase NDB2) (NADH:ubiquinone reductase (non-electrogenic) NDB2)	NDB2 At4g05020 T32N4.4	Arabidopsis thaliana (Mouse-ear cress)	582	TISSUE SPECIFICITY: Mostly expressed in seedlings and roots and, to a lower extent, in cotyledons, leaves, stems, buds and flowers. {ECO:0000269|PubMed:12972666, ECO:0000269|PubMed:16258072}.			SUBCELLULAR LOCATION: Mitochondrion inner membrane; Peripheral membrane protein; Intermembrane side {ECO:0000269|PubMed:21841088}. Peroxisome {ECO:0000250}.				NP_567283.1 [Q94BV7-1];		3702.AT4G05020.2;	
Q95YL4	reviewed	PEFB_DICDI	Penta-EF hand domain-containing protein 2 (Apoptosis-linked gene 2 protein homolog B) (Dd-ALG-2b) (DdPEF-2)	pefB alg2B DDB_G0293530	Dictyostelium discoideum (Social amoeba)	205				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11481037, ECO:0000269|PubMed:11927596}. Membrane {ECO:0000269|PubMed:11481037, ECO:0000269|PubMed:11927596}; Peripheral membrane protein. Note=Membrane-associated in the presence of Ca(2+). {ECO:0000269|PubMed:11481037}.				XP_628986.1;		44689.DDB0215364;	
Q95YL5	reviewed	PEFA_DICDI	Penta-EF hand domain-containing protein 1 (Apoptosis-linked gene 2 protein homolog A) (Dd-ALG-2a) (DdPEF-1)	pefA alg2A DDB_G0291081	Dictyostelium discoideum (Social amoeba)	197				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11481037, ECO:0000269|PubMed:11927596}. Membrane {ECO:0000269|PubMed:11481037, ECO:0000269|PubMed:11927596}; Peripheral membrane protein. Note=Membrane-associated in the presence of Ca(2+). {ECO:0000269|PubMed:11481037}.				XP_635397.1;		44689.DDB0191092;	
Q967F4	reviewed	HMR1_CAEEL	Cadherin-related hmr-1 (Protein Hammerhead)	hmr-1 W02B9.1	Caenorhabditis elegans	2920	TISSUE SPECIFICITY: [Isoform a]: Expressed in epidermal cells (at protein level) (PubMed:9531567). {ECO:0000269|PubMed:9531567}.; TISSUE SPECIFICITY: [Isoform b]: Neuron-specific. {ECO:0000269|PubMed:11790304}.	TOPO_DOM 20..2779; /note="Extracellular"; /evidence="ECO:0000255"; TOPO_DOM 2801..2920; /note="Cytoplasmic"; /evidence="ECO:0000255"	TRANSMEM 2780..2800; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12847081, ECO:0000269|PubMed:25938815, ECO:0000269|PubMed:9531567}; Single-pass type I membrane protein {ECO:0000269|PubMed:12847081, ECO:0000269|PubMed:9531567}. Cell junction, adherens junction {ECO:0000269|PubMed:12847081, ECO:0000269|PubMed:20515680, ECO:0000269|PubMed:25850673, ECO:0000269|PubMed:25938815, ECO:0000269|PubMed:26412237}. Cell junction {ECO:0000269|PubMed:20689042}. Cell projection, dendrite {ECO:0000269|PubMed:33460640}. Note=The basal to apical translocation from the cell membrane to adherens junctions is determined by the coupled sumoylation and desumoylation state of hmr-1 (Ref.12). Localizes in a grdn-1-dependent manner to the distal segment of the merging AQR dendrite (PubMed:33460640). {ECO:0000269|PubMed:26412237, ECO:0000269|PubMed:33460640}.; SUBCELLULAR LOCATION: [Isoform a]: Cell junction, adherens junction {ECO:0000269|PubMed:12847081, ECO:0000269|PubMed:25850673}.	HELIX 2877..2888; /evidence="ECO:0007829|PDB:4R10"; HELIX 2890..2892; /evidence="ECO:0007829|PDB:4R10"		STRAND 2844..2847; /evidence="ECO:0007829|PDB:4R10"; STRAND 2896..2899; /evidence="ECO:0007829|PDB:4R10"	NP_001021649.2;NP_001021650.1 [Q967F4-1];NP_001129794.1;NP_001251561.1 [Q967F4-4];NP_001251562.1;	38416;	6239.W02B9.1b;	
Q969G9	reviewed	NKD1_HUMAN	Protein naked cuticle homolog 1 (Naked-1) (hNkd) (hNkd1)	NKD1 NKD PP7246	Homo sapiens (Human)	470	TISSUE SPECIFICITY: Expressed in colon, heart, kidney, leukocyte, liver, lung, ovary, pancreas, placenta, prostate, skeletal muscle, small intestine and spleen. {ECO:0000269|PubMed:11604995}.			SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}. Cytoplasm {ECO:0000250}.				NP_149110.1;	124516;	9606.ENSP00000268459;	
Q969Q6	reviewed	P2R3C_HUMAN	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma (Protein phosphatase subunit G5PR) (Rhabdomyosarcoma antigen MU-RMS-40.6A/6C)	PPP2R3C C14orf10 G5PR	Homo sapiens (Human)	453	TISSUE SPECIFICITY: Ubiquitously expressed in brain and other tissues. {ECO:0000269|PubMed:12167160, ECO:0000269|PubMed:15820313}.			SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15820313}. Cytoplasm {ECO:0000269|PubMed:15820313}. Note=Excluded from the nucleoli. Localization is cell cycle-dependent. Localizes to the cytoplasm during cytokinesis. {ECO:0000269|PubMed:15820313}.				NP_001292084.1 [Q969Q6-2];NP_001292085.1 [Q969Q6-2];NP_060387.2 [Q969Q6-1];XP_005267839.1 [Q969Q6-1];	120344;	9606.ENSP00000261475;	
Q96A32	reviewed	MYL11_HUMAN	Myosin regulatory light chain 11 (Fast skeletal myosin light chain 2) (MLC2B) (Myosin light chain 11) (Myosin regulatory light chain 2, skeletal muscle isoform)	MYL11 HSRLC MYLPF	Homo sapiens (Human)	169	TISSUE SPECIFICITY: Expressed in fetal and adult skeletal muscle. {ECO:0000269|PubMed:14756420}.							NP_001311387.1;NP_001311388.1;NP_037424.2;	118947;	9606.ENSP00000325239;	
Q96AY3	reviewed	FKB10_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP10 (PPIase FKBP10) (EC 5.2.1.8) (65 kDa FK506-binding protein) (65 kDa FKBP) (FKBP-65) (FK506-binding protein 10) (FKBP-10) (Immunophilin FKBP65) (Rotamase)	FKBP10 FKBP65 PSEC0056	Homo sapiens (Human)	582				SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138}.				NP_068758.3 [Q96AY3-1];	121955;	9606.ENSP00000317232;	
Q96BS2	reviewed	CHP3_HUMAN	Calcineurin B homologous protein 3 (Tescalcin) (TSC)	TESC CHP3	Homo sapiens (Human)	214	TISSUE SPECIFICITY: Expressed in mature megakaryocytes and polymorphonuclear granulocytes (at protein level). Abundantly expressed in heart. Also expressed at a lower level in adult testis and salivary gland, and in the placenta. {ECO:0000269|PubMed:11696366, ECO:0000269|PubMed:20060826}.			SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18321853}. Cytoplasm {ECO:0000269|PubMed:18321853}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}. Cell membrane {ECO:0000269|PubMed:18321853}. Cell projection, lamellipodium {ECO:0000269|PubMed:11696366}. Cell projection, ruffle membrane {ECO:0000250|UniProtKB:Q9JKL5}. Note=Colocalizes with SLC9A1 at the plasma membrane. {ECO:0000269|PubMed:18321853}.				NP_001161797.1 [Q96BS2-3];NP_060369.3 [Q96BS2-1];XP_016875022.1;	120330;	9606.ENSP00000334785;	
Q96D15	reviewed	RCN3_HUMAN	Reticulocalbin-3 (EF-hand calcium-binding protein RLP49)	RCN3 UNQ239/PRO272	Homo sapiens (Human)	328	TISSUE SPECIFICITY: Widely expressed. {ECO:0000269|PubMed:16433634}.			SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000269|PubMed:16433634}.				NP_065701.2;XP_011525445.1;XP_016882512.1;	121488;	9606.ENSP00000270645;	
Q96D71	reviewed	REPS1_HUMAN	RalBP1-associated Eps domain-containing protein 1 (RalBP1-interacting protein 1)	REPS1	Homo sapiens (Human)	796	TISSUE SPECIFICITY: Widely expressed with highest levels in heart and testis. {ECO:0000269|PubMed:11750063}.			SUBCELLULAR LOCATION: Membrane, clathrin-coated pit {ECO:0000269|PubMed:20946875}. Note=Colocalize with ITSN1 at the plasma membrane in structures that are most probably clathrin-coated pits.				NP_001122089.1 [Q96D71-4];NP_001273540.1 [Q96D71-1];NP_001273541.1 [Q96D71-2];NP_114128.3 [Q96D71-3];	124433;	9606.ENSP00000392065;	
Q96FQ6	reviewed	S10AG_HUMAN	Protein S100-A16 (Aging-associated gene 13 protein) (Protein S100-F) (S100 calcium-binding protein A16)	S100A16 S100F AAG13	Homo sapiens (Human)	103	TISSUE SPECIFICITY: Ubiquitous (PubMed:14684152). Highly expressed in esophagus, adipose tissues and colon. Expressed at lower level in lung, brain, pancreas and skeletal muscle. Expression is up-regulated in tumors of bladder, lung, thyroid gland, pancreas and ovary (PubMed:14684152). Expressed in astrocytes (PubMed:17030513). {ECO:0000269|PubMed:14684152, ECO:0000269|PubMed:17030513}.			SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:17030513}. Cytoplasm {ECO:0000269|PubMed:17030513}. Note=Primarily nucleolar. A high intracellular calcium level induces nucleolar exit and nucleocytoplasmic transport, whereas a low intracellular calcium level leads to nuclear translocation and accumulation within specific region of nucleoli (PubMed:17030513).	HELIX 7..21; /evidence="ECO:0007829|PDB:3NXA"; HELIX 35..45; /evidence="ECO:0007829|PDB:3NXA"; HELIX 54..65; /evidence="ECO:0007829|PDB:3NXA"; HELIX 66..68; /evidence="ECO:0007829|PDB:2L51"; HELIX 76..87; /evidence="ECO:0007829|PDB:3NXA"; HELIX 88..90; /evidence="ECO:0007829|PDB:3NXA"; HELIX 91..100; /evidence="ECO:0007829|PDB:3NXA"	TURN 28..30; /evidence="ECO:0007829|PDB:2L50"; TURN 47..50; /evidence="ECO:0007829|PDB:3NXA"	STRAND 51..53; /evidence="ECO:0007829|PDB:2L50"	NP_001303936.1;NP_001303937.1;NP_525127.1;	126627;	9606.ENSP00000357693;	
Q96L46	reviewed	CPNS2_HUMAN	Calpain small subunit 2 (CSS2) (Calcium-dependent protease small subunit 2)	CAPNS2	Homo sapiens (Human)	248				SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}. Note=Translocates to the plasma membrane upon calcium binding. {ECO:0000250}.				NP_115706.1;	124017;	9606.ENSP00000400882;	
Q96LZ3	reviewed	CANB2_HUMAN	Calcineurin subunit B type 2 (Calcineurin B-like protein) (CBLP) (Calcineurin BII) (CNBII) (PPP3R1-like) (Protein phosphatase 2B regulatory subunit 2) (Protein phosphatase 3 regulatory subunit B beta isoform)	PPP3R2 CBLP PPP3RL	Homo sapiens (Human)	170	TISSUE SPECIFICITY: Testis-specific. {ECO:0000269|PubMed:15865209}.			SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q63811}. Note=Localizes in the mitochondria in a SPATA33-dependent manner. {ECO:0000250|UniProtKB:Q63811}.				NP_671709.1;	111527;	9606.ENSP00000363939;	
Q96P71	reviewed	NECA3_HUMAN	N-terminal EF-hand calcium-binding protein 3 (Amyloid-beta A4 protein-binding family A member 2-binding protein) (Nek2-interacting protein 1) (Neuronal calcium-binding protein 3) (X11L-binding protein 51)	NECAB3 APBA2BP NIP1 SYTIP2 XB51	Homo sapiens (Human)	396	TISSUE SPECIFICITY: Strongly expressed in heart and skeletal muscle, moderately in brain and pancreas. {ECO:0000269|PubMed:10833507, ECO:0000269|PubMed:12044471}.			SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:10833507, ECO:0000269|PubMed:14697346, ECO:0000269|PubMed:26948053}.				NP_112508.3 [Q96P71-2];NP_112509.3 [Q96P71-1];	122006;	9606.ENSP00000246190;	
